sigtime,inti,type,signals
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,75,signals,2
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,1,signals,0
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:45:00,0,signals,30
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,4,signals,2
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,4,signals,2
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,4,signals,2
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,4,signals,2
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,4,signals,2
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,0,signals,30
2024-04-10 16:50:00,1,signals,0
2024-04-10 16:50:00,1,signals,0
